id	ne	type	url	dpb	solr_iteration	solr_pos	cand_pos	solr_score	cand_score	solr_inlinks	cand_inlinks	quotes	lang	disambig	main_title_exact_match	main_title_start_match	main_title_end_match	main_title_match	title_exact_match_fraction	title_start_match_fraction	title_end_match_fraction	title_match_fraction	last_part_match_fraction	mean_levenshtein_ratio	name_conflict	date_match	type_match	role_match	subject_match	entity_match	spec_match	cat_match	label
10	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Rutger_Jan_Schimmelpenninck_van_Nijenhuis	0	0.20000	0.05000	0.39650	0.39650	0.04525	0.14493	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.36000	0	1	-1	0	-1	0	0	0	0
11	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Nijenhuis_(Diepenheim)	0	0.25000	0.10000	1.00000	1.00000	0.03846	0.12319	0	1	0	1	0	0	0	0	0	0	0	0.00000	1.00000	0	0	0	0	0	0	0	0	0
12	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Nijenhuis_(Olst-Wijhe)	0	0.30000	0.15000	1.00000	1.00000	0.03846	0.12319	0	1	0	1	0	0	0	0	0	0	0	0.00000	1.00000	0	0	0	0	1	0	0	0	0
13	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Arnold_Adolf_Bentinck_van_Nijenhuis	0	0.40000	0.20000	0.39650	0.39650	0.02715	0.08696	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.40909	0	0	-1	0	-1	0	0	0	0
14	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Johannes_Bodel_Nijenhuis	0	0.45000	0.25000	0.47633	0.47633	0.02489	0.07971	0	1	1	0	0	1	0	0.00000	0.00000	1.00000	0.00000	0.00000	0.59416	0	1	-1	0	0	0	0	1	0
15	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Gerard_Nijenhuis	0	0.50000	0.30000	0.39650	0.39650	0.02489	0.07971	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.72000	0	2	-1	0	1	0	0	1	0
16	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Gerhard_Nijenhuis	0	0.55000	0.35000	0.39650	0.39650	0.02262	0.07246	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.69231	0	2	-1	0	-1	0	0	0	0
17	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Volkier_Marius_François_Bentinck_tot_Nijenhuis	0	0.60000	0.40000	0.58923	0.58923	0.02036	0.06522	0	1	1	0	0	1	0	0.00000	0.00000	1.00000	0.00000	0.00000	0.31118	0	0	0	0	-1	0	0	0	0
18	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Rudolph_Anne_van_Hoëvell_tot_Nijenhuis	0	0.65000	0.45000	0.58923	0.58923	0.01810	0.05797	0	1	1	0	0	1	0	0.00000	0.00000	1.00000	0.00000	0.00000	0.38298	0	0	-1	0	0	0	0	0	0
19	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Adolf_Carel_Bentinck_van_Nijenhuis	0	0.70000	0.50000	0.39650	0.39650	0.01357	0.04348	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.41860	0	1	-1	0	-1	0	0	0	0
20	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Bé_Nijenhuis	0	0.75000	0.55000	0.53759	0.53759	0.01357	0.04348	0	1	1	0	0	1	0	0.00000	0.00000	1.00000	0.00000	0.00000	0.81143	0	2	-1	0	2	0	0	1	0
21	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Hans_Nijenhuis	0	0.80000	0.60000	0.39650	0.39650	0.01131	0.03623	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.78261	0	0	-1	0	1	0	0	2	0
22	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Jan_Nijenhuis	0	0.85000	0.65000	0.39650	0.39650	0.00905	0.02899	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.81818	0	0	-1	0	0	0	0	0	0
23	Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Albert_Nijenhuis	0	0.95000	0.70000	0.53759	0.53759	0.00452	0.01449	0	1	1	0	0	1	0	0.00000	0.00000	1.00000	0.00000	0.00000	0.81000	0	0	0	0	1	0	0	0	0
24	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Noord-Brabant	0	0.05000	0.05000	1.00000	1.00000	0.29809	0.45751	0	1	1	1	0	0	0	0.00000	0.00000	0.14286	0.00000	0.12500	0.86101	0	0	1	0	0	0	0	0	1
25	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Tilburg	0	0.15000	0.10000	0.17908	0.17908	0.15372	0.23593	0	1	1	0	0	0	0	0.00000	0.00000	0.16667	0.00000	0	0.31628	0	0	1	0	0	0	0	1	0
26	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Hertogdom_Brabant	0	0.20000	0.15000	0.05878	0.05878	0.07581	0.11635	0	1	1	0	0	0	0	0.00000	0.00000	0.00000	0.00000	0.16667	0.49875	0	0	1	0	0	0	0	0	0
27	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Bergen_op_Zoom	0	0.25000	0.20000	0.17908	0.17908	0.06697	0.10278	0	1	1	0	0	0	0	0.00000	0.00000	0.16667	0.00000	0.00000	0.27522	0	0	1	0	0	0	0	1	0
28	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Willemstad_(Noord-Brabant)	0	0.40000	0.25000	0.17908	0.17908	0.01370	0.02102	0	1	0	0	0	0	0	0.00000	0.00000	0.50000	0.00000	0	0.46142	0	0	1	0	0	0	0	1	0
29	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Berlicum	0	0.55000	0.30000	0.17908	0.17908	0.00935	0.01435	0	1	1	0	0	0	0	0.00000	0.00000	0.25000	0.00000	0	0.37712	0	0	1	0	1	0	0	1	0
30	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Laarbeek_(gemeente)	0	0.70000	0.35000	0.17908	0.17908	0.00746	0.01146	0	1	0	0	0	0	0	0.00000	0.00000	1.00000	0.00000	0	0.46667	0	0	1	0	0	0	0	0	0
31	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Steenbergen_(gemeente)	0	0.75000	0.40000	0.17908	0.17908	0.00746	0.01146	0	1	0	0	0	0	0	0.00000	0.00000	0.25000	0.00000	0	0.45398	0	0	1	0	0	0	0	0	0
32	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Engelen	0	0.85000	0.45000	0.17908	0.17908	0.00667	0.01023	0	1	1	0	0	0	0	0.00000	0.00000	0.50000	0.00000	0	0.44503	0	0	1	0	0	0	0	0	0
33	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Heeswijk_(Bernheze)	0	0.90000	0.50000	0.25326	0.25326	0.00660	0.01012	0	1	0	0	0	0	0	0.00000	0.00000	1.00000	0.00000	0	0.37143	0	0	1	0	0	0	0	1	0
34	Noord-Brabant	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Esch_(Haaren)	0	1.00000	0.55000	0.17908	0.17908	0.00573	0.00879	0	1	0	0	0	0	0	0.00000	0.00000	0.50000	0.00000	0	0.37152	0	0	1	0	0	0	0	1	0
35	Schatten	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Schatten	0	0.05000	0.05000	1.00000	1.00000	0.11488	0.16541	0	1	1	1	0	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.41009	0	0	0	0	0	0	0	0	0
36	Schatten	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Orde_van_de_Heilige_Schatten	0	0.10000	0.10000	0.46872	0.46872	0.09922	0.14286	0	1	1	0	0	1	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.19729	0	0	0	0	-1	0	0	0	0
37	Schatten	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Die_Frau_ohne_Schatten	0	0.15000	0.15000	0.52703	0.52703	0.03916	0.05639	0	1	1	0	0	1	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.32638	0	0	0	0	1	0	0	1	0
38	Schatten	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Centraal_Amerika's_onbekende_schatten	0	0.35000	0.20000	0.09173	0.09173	0.00261	0.00376	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.35556	0	0	0	0	0	0	0	0	0
39	Schatten	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Nacht-schatten	0	0.40000	0.25000	0.09173	0.09173	0.00261	0.00376	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.72727	0	0	0	0	0	0	0	0	0
40	Schatten	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Lautlos_wie_sein_Schatten	0	0.50000	0.30000	0.46872	0.46872	0.00261	0.00376	0	1	1	0	0	1	0	0	0	0	0	0.00000	0.48485	0	0	0	0	0	0	0	1	0
41	Schatten	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://dbpedia.org/resource/Die_Frau_ohne_Schatten	0	0.60000	0.35000	0.46872	0.46872	0.39426	0.56767	0	0	1	0	0	1	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.32638	0	0	0	0	1	0	0	0	0
42	Schatten	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://dbpedia.org/resource/Marriage_in_the_Shadows	0	0.85000	0.40000	0.09173	0.09173	0.03916	0.05639	0	0	1	0	0	0	0	0.00000	0.00000	1.00000	0.00000	0.00000	0.44460	0	0	0	0	1	0	0	0	0
43	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Amsterdam	0	0.05000	0.05000	1.00000	1.00000	0.55538	0.60600	0	1	1	1	0	0	0	0.00000	0.41176	0.05882	0.00000	0.16667	0.65038	0	0	1	0	0	0	0	1	1
44	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/AFC_Ajax	0	0.10000	0.10000	0.11966	0.11966	0.07858	0.08574	0	1	1	0	0	0	0	0.00000	0.05882	0.23529	0.00000	0.00000	0.36177	0	0	0	0	-1	0	0	0	0
45	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Universiteit_van_Amsterdam	0	0.15000	0.15000	0.40196	0.40196	0.06270	0.06842	0	1	1	0	0	1	0	0.00000	0.08333	0.50000	0.00000	0.00000	0.37175	0	0	0	0	1	0	0	0	0
46	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Rijksmuseum_Amsterdam	0	0.20000	0.20000	0.35524	0.35524	0.03000	0.03274	0	1	1	0	0	1	0	0.00000	0.16667	0.33333	0.00000	0.00000	0.48318	0	0	1	0	1	0	0	0	0
47	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Vrije_Universiteit_Amsterdam	0	0.25000	0.25000	0.44205	0.44205	0.02846	0.03105	0	1	1	0	0	1	0	0.00000	0.18182	0.54545	0.00000	0.00000	0.46278	0	0	0	0	1	0	0	0	0
48	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Amsterdam_(gemeente)	0	0.30000	0.30000	0.78333	0.78333	0.02782	0.03036	0	1	0	1	0	0	0	0.00000	0.50000	0.50000	0.00000	0.00000	0.66284	0	0	1	0	0	0	0	0	0
49	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Luchthaven_Schiphol	0	0.35000	0.35000	0.15000	0.15000	0.02558	0.02791	0	1	1	0	0	0	0	0.00000	0.35714	0.07143	0.00000	0.00000	0.34932	0	0	1	0	0	1	0	1	0
50	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Station_Amsterdam_Centraal	0	0.40000	0.40000	0.19714	0.19714	0.01900	0.02073	0	1	1	0	0	0	1	0.00000	0.60000	0.20000	0.10000	0.00000	0.55239	0	0	1	0	0	0	0	1	0
51	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Stedelijk_Museum_(Amsterdam)	0	0.45000	0.45000	0.10113	0.10113	0.01821	0.01987	0	1	0	0	0	0	0	0.00000	0.20000	0.40000	0.00000	0.00000	0.41522	0	0	1	0	1	0	1	0	0
52	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Rijksakademie_van_beeldende_kunsten	0	0.55000	0.50000	0.06396	0.06396	0.01640	0.01789	0	1	1	0	0	0	0	0.00000	0.00000	0.25000	0.00000	0.00000	0.27271	0	0	0	0	1	0	0	1	0
53	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Conservatorium_van_Amsterdam	0	0.60000	0.55000	0.40196	0.40196	0.01506	0.01643	0	1	1	0	0	1	0	0.00000	0.46154	0.23077	0.00000	0.00000	0.45651	0	0	0	0	1	0	0	0	0
54	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Rijksweg_2	0	0.65000	0.60000	0.04523	0.04523	0.01388	0.01515	0	1	1	0	0	0	0	0.00000	0.00000	0.11111	0.00000	0.00000	0.31291	0	0	1	0	1	0	0	1	0
55	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Amsterdamsche_Hockey_&_Bandy_Club	0	0.80000	0.65000	0.34789	0.34789	0.01349	0.01472	0	1	1	0	1	0	0	0.20000	0.80000	0.00000	0.00000	0.00000	0.71945	0	0	0	0	-1	0	0	2	0
56	Amsterdam	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Koninklijk_Concertgebouw	0	1.00000	0.70000	0.10113	0.10113	0.01191	0.01300	0	1	1	0	0	0	0	0.00000	0.20000	0.40000	0.00000	0.00000	0.37134	0	0	0	0	0	0	0	1	0
57	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Singapore	0	0.05000	0.05000	0.07306	0.07306	0.40184	0.79479	0	1	1	0	0	0	0	0.00000	0.02326	0.02326	0.00000	0.00000	0.06522	0	0	0	0	0	0	0	0	0
58	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Hub_(luchthaven)	0	0.20000	0.10000	0.87318	0.87318	0.03356	0.06638	0	1	0	1	0	0	0	0.00000	0.14286	0.57143	0.00000	0.00000	0.40622	0	0	0	0	0	0	0	0	0
59	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/John_F._Kennedy_International_Airport	0	0.25000	0.15000	0.07306	0.07306	0.02150	0.04252	0	1	1	0	0	0	0	0.00000	0.00000	0.04878	0.00000	0.00000	0.03049	0	0	0	0	0	0	0	0	0
60	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/United_Parcel_Service	0	0.50000	0.20000	0.05166	0.05166	0.01119	0.02213	0	1	1	0	0	0	0	0.00000	0.00000	0.11111	0.00000	0.00000	0.10243	0	0	0	0	0	0	0	0	0
61	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Naafversnelling	0	0.60000	0.25000	0.10332	0.10332	0.00834	0.01649	0	1	1	0	0	0	0	0.00000	0.20000	0.20000	0.00000	0.00000	0.23037	0	0	0	0	0	0	0	0	0
62	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Muntproductieproces	0	0.65000	0.30000	0.05166	0.05166	0.00746	0.01475	0	1	1	0	0	0	0	0.00000	0.00000	0.14286	0.00000	0.00000	0.14553	0	0	0	0	0	0	0	0	0
63	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Hub_(hardware)	0	0.70000	0.35000	1.00000	1.00000	0.00570	0.01128	0	1	0	1	0	0	0	0.00000	0.15385	0.53846	0.00000	0.00000	0.34751	0	0	0	0	0	2	0	0	0
64	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Domotica	0	0.75000	0.40000	0.05166	0.05166	0.00548	0.01085	0	1	1	0	0	0	0	0.00000	0.00000	0.08333	0.00000	0.00000	0.12159	0	0	0	0	0	0	0	0	0
65	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/LittleBigPlanet	0	0.80000	0.45000	0.07306	0.07306	0.00395	0.00781	0	1	1	0	0	0	0	0.00000	0.00000	0.06667	0.00000	0.00000	0.12579	0	0	0	0	0	0	0	0	0
66	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/GitHub	0	0.85000	0.50000	0.05166	0.05166	0.00351	0.00694	0	1	1	0	0	1	0	0.00000	0.00000	0.50000	0.50000	0.00000	0.57607	0	0	0	0	0	0	0	0	0
67	Hub	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Cassette_(fiets)	0	0.90000	0.55000	0.05166	0.05166	0.00307	0.00607	0	1	0	0	0	0	0	0.00000	0.00000	0.25000	0.00000	0.00000	0.12867	0	0	0	0	0	0	0	0	0
68	F. Jans	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Jacobus_Jans	0	0.55000	0.05000	1.00000	1.00000	0.01075	1.00000	0	1	1	0	0	0	0	0.00000	0.00000	0.50000	0.00000	0.00000	0.47338	0	2	0	0	-1	0	0	0	0
69	Zwarte Beertjes	location	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Zwarte_Beertjes	0	0.05000	0.05000	1.00000	1.00000	1.00000	1.00000	0	1	1	1	0	0	0	0	0	0	0	0.00000	1.00000	0	0	0	0	1	0	0	0	1
70	Engels	other	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Engels	0	0.05000	0.05000	1.00000	1.00000	0.79733	0.96169	0	1	1	1	0	0	0	0.00000	0.10256	0.02564	0.00000	0.00000	0.44660	0	0	0	0	2	0	0	0	1
71	Engels	other	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Oudengels	0	0.25000	0.10000	0.08511	0.08511	0.01281	0.01546	0	1	1	0	0	1	0	0.00000	0.00000	0.05000	0.00000	0.00000	0.48682	0	0	0	0	0	1	0	2	0
72	Engels	other	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Friedrich_Engels	0	0.40000	0.15000	0.49679	0.49679	0.00631	0.00762	0	1	1	0	0	1	0	0.00000	0.11111	0.66667	0.00000	0.00000	0.58412	0	1	0	0	2	0	0	0	0
73	Engels	other	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Engels_(schaakopening)	0	0.50000	0.20000	0.81309	0.81309	0.00604	0.00728	0	1	0	1	0	0	0	0.00000	0.00000	0.02500	0.00000	0.00000	0.29095	0	0	0	0	0	0	0	0	0
74	Engels	other	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Amerikaans-Engels	0	0.75000	0.25000	0.08511	0.08511	0.00364	0.00439	0	1	1	0	0	1	0	0.00000	0.00000	0.00000	0.03846	0.00000	0.41930	0	0	0	0	0	1	0	1	0
75	Engels	other	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Middelengels	0	0.80000	0.30000	0.06018	0.06018	0.00295	0.00356	0	1	1	0	0	1	0	0.00000	0.00000	0.08333	0.00000	0.00000	0.40508	0	0	0	0	0	1	0	2	0
76	Harriët Freezer	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Harriët_Freezer	0	0.10000	0.05000	1.00000	1.00000	0.13084	1.00000	0	1	1	1	0	0	0	0.00000	0.00000	0.00000	0.00000	0.33333	0.76209	0	2	1	0	1	0	0	3	1
77	Engelse	other	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Engeland	0	0.05000	0.05000	1.00000	1.00000	0.48303	0.56999	0	1	1	0	0	0	0	0.04167	0.00000	0.00000	0.00000	0.00000	0.43535	0	0	0	0	0	0	0	0	1
